IDIndikator;Indikator;IDTer;nTer;nStarGrupa;nPol;God+Mes;nVrTacka;nEkonomskaAkt;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
3104020801IND01;Population by economic activity, age and sex;"70092 ";Barajevo;Total;Total;202200;2022;Тotal;26431;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70106 ";Voždovac;Total;Total;202200;2022;Тotal;174864;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70114 ";Vračar;Total;Total;202200;2022;Тotal;55406;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70122 ";Grocka;Total;Total;202200;2022;Тotal;82810;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70149 ";Zvezdara;Total;Total;202200;2022;Тotal;172625;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70157 ";Zemun;Total;Total;202200;2022;Тotal;177908;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70165 ";Lazarevac;Total;Total;202200;2022;Тotal;55146;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70173 ";Mladenovac;Total;Total;202200;2022;Тotal;48683;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70181 ";Novi Beograd;Total;Total;202200;2022;Тotal;209763;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70190 ";Obrenovac;Total;Total;202200;2022;Тotal;68882;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70203 ";Palilula (Beograd);Total;Total;202200;2022;Тotal;182624;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70211 ";Rakovica;Total;Total;202200;2022;Тotal;104456;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70220 ";Savski venac;Total;Total;202200;2022;Тotal;36699;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70238 ";Sopot;Total;Total;202200;2022;Тotal;19126;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70246 ";Stari grad;Total;Total;202200;2022;Тotal;44737;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"70254 ";Čukarica;Total;Total;202200;2022;Тotal;175793;A;Normal value;F;Free (free for publication);NR;number
3104020801IND01;Population by economic activity, age and sex;"71293 ";Surčin;Total;Total;202200;2022;Тotal;45452;A;Normal value;F;Free (free for publication);NR;number
